City,Country,Temperature,Humidity,Cloudiness,Wind speed,Latitude,Longitude,Max Temperature,Date
talavera,PH,80.6,74,75,22.37,15.6167,120.9333,80.6,1613185555
saskylakh,RU,-27.94,82,77,1.92,71.9167,114.0833,-27.94,1613185555
geraldton,AU,91.4,35,75,23.02,-28.7667,114.6,91.4,1613185555
vaini,TO,86.0,74,75,8.05,-21.2,-175.2,86.0,1613185556
butaritari,KI,81.32,83,0,12.15,3.0707,172.7902,81.32,1613185279
cardoso,BR,70.68,87,100,5.59,-20.0819,-49.9142,70.68,1613185556
pokaran,IN,66.6,26,1,6.29,26.9167,71.9167,66.6,1613185556
florianopolis,BR,73.4,94,75,2.3,-27.6146,-48.5012,73.4,1613185386
new norfolk,AU,70.79,41,95,4.0,-42.7826,147.0587,75.0,1613185557
tasiilaq,GL,32.0,74,90,40.29,65.6145,-37.6368,32.0,1613185557
punta arenas,CL,55.2,58,90,13.8,-53.15,-70.9167,55.4,1613185394
saint-philippe,RE,72.93,65,0,21.85,-21.3585,55.7679,80.6,1613185268
mataura,NZ,73.0,57,87,3.0,-46.1927,168.8643,73.0,1613185558
alofi,NU,84.2,74,74,10.36,-19.0595,-169.9187,84.2,1613185558
ushuaia,AR,57.2,82,75,10.36,-54.8,-68.3,57.2,1613185559
havoysund,NO,24.8,80,20,10.36,70.9963,24.6622,24.8,1613185560
rikitea,PF,80.13,74,13,11.03,-23.1203,-134.9692,80.13,1613185560
kattivakkam,IN,73.4,73,40,2.3,13.2167,80.3167,73.4,1613185560
ivanteyevka,RU,4.95,85,90,20.13,55.9711,37.9208,6.8,1613185561
coquimbo,CL,60.8,88,0,6.91,-29.9533,-71.3436,60.8,1613185417
yellowknife,CA,-17.39,83,1,4.61,62.456,-114.3525,-16.01,1613185519
faanui,PF,81.91,72,18,10.22,-16.4833,-151.75,81.91,1613185561
nelson bay,AU,72.3,100,90,19.57,-32.7167,152.15,73.0,1613185562
hobart,AU,69.19,55,75,10.36,-42.8794,147.3294,75.0,1613185284
blagoveshchenka,RU,-17.48,84,0,5.61,52.8333,79.8667,-17.48,1613185562
puerto ayora,EC,75.99,95,92,1.01,-0.7393,-90.3518,75.99,1613185563
quatre cocos,MU,76.8,78,40,11.5,-20.2078,57.7625,78.8,1613185321
verkh-usugli,RU,-2.92,81,73,5.28,52.7,115.1667,-2.92,1613185563
pangnirtung,CA,-18.2,82,99,0.13,66.1451,-65.7125,-18.2,1613185563
longyearbyen,SJ,12.2,79,75,14.97,78.2186,15.6401,12.2,1613185313
kaitangata,NZ,66.0,74,70,7.0,-46.2817,169.8464,66.0,1613185294
souillac,MU,78.8,78,40,11.5,-20.5167,57.5167,78.8,1613185564
georgetown,MY,83.93,69,20,9.22,5.4112,100.3354,86.0,1613185331
merauke,ID,84.49,74,95,7.0,-8.4667,140.3333,84.49,1613185281
qaanaaq,GL,-2.2,70,0,4.97,77.484,-69.3632,-2.2,1613185274
polunochnoye,RU,-7.53,92,100,3.0,60.8697,60.4153,-7.53,1613185566
blagoyevo,RU,-13.31,89,43,2.91,63.3667,47.9167,-13.31,1613185566
te anau,NZ,68.9,37,35,8.32,-45.4167,167.7167,68.9,1613185566
san patricio,US,35.19,93,90,14.97,28.017,-97.5169,35.6,1613185299
hilo,US,74.08,57,40,8.05,19.7297,-155.09,80.6,1613185496
provideniya,RU,0.46,90,100,28.74,64.3833,-173.3,0.46,1613185309
montmagny,FR,23.5,68,0,8.05,48.9734,2.3469,25.0,1613185567
ambon,ID,84.2,79,40,3.44,-3.6954,128.1814,84.2,1613185567
okha,RU,17.11,95,100,4.18,53.5739,142.9478,17.11,1613185568
atuona,PF,79.03,79,1,15.26,-9.8,-139.0333,79.03,1613185568
lagoa,PT,59.45,81,100,30.58,39.05,-27.9833,59.45,1613185569
aykhal,RU,-20.04,79,86,2.19,66.0,111.5,-20.04,1613185280
ayan,RU,16.97,95,100,7.81,56.45,138.1667,16.97,1613185569
dolores,AR,66.58,91,100,5.73,-36.3132,-57.6792,66.58,1613185298
syracuse,IT,50.74,93,0,4.61,37.0881,15.2792,54.0,1613185570
barrow,US,-9.4,70,90,4.61,71.2906,-156.7887,-9.4,1613185570
bluff,NZ,73.0,57,79,3.0,-46.6,168.3333,73.0,1613185570
bac lieu,VN,77.67,71,94,12.82,9.285,105.7244,77.67,1613185547
misratah,LY,56.84,75,0,13.24,32.3754,15.0925,56.84,1613185571
chase,CA,4.03,61,51,2.3,50.8165,-119.6857,8.6,1613185539
saint-francois,FR,22.05,79,0,3.44,46.4154,3.9054,23.0,1613185543
busselton,AU,75.0,58,0,1.99,-33.65,115.3333,75.0,1613185572
andapa,MG,68.05,90,96,2.48,-14.65,49.65,68.05,1613185572
kieta,PG,84.02,75,100,10.18,-6.2167,155.6333,84.02,1613185572
esmeraldas,BR,69.8,88,0,2.3,-19.7625,-44.3139,69.8,1613185365
asilah,MA,48.2,100,40,3.44,35.465,-6.0348,48.2,1613185573
airai,TL,73.18,84,62,2.62,-8.9266,125.4092,73.18,1613185573
kavaratti,IN,80.55,62,36,4.83,10.5669,72.642,80.55,1613185573
eureka,US,50.79,98,100,6.33,40.8021,-124.1637,51.01,1613185419
port elizabeth,ZA,73.4,100,90,12.66,-33.918,25.5701,73.4,1613185574
yarensk,RU,-13.11,89,59,4.09,62.1675,49.0916,-13.11,1613185574
howard springs,AU,90.03,70,40,16.11,-12.497,131.047,93.0,1613185574
hasaki,JP,59.07,54,20,4.61,35.7333,140.8333,61.0,1613185332
samarai,PG,84.16,66,20,9.28,-10.6167,150.6667,84.16,1613185575
dhidhdhoo,MV,79.93,63,100,6.8,6.8833,73.1,79.93,1613185575
la ronge,CA,-25.6,69,19,0.65,55.1001,-105.2842,-23.8,1613185575
cabo san lucas,MX,63.55,77,1,14.97,22.8909,-109.9124,64.4,1613185281
carnarvon,AU,86.0,79,90,11.5,-24.8667,113.6333,86.0,1613185287
port lincoln,AU,68.94,59,23,9.78,-34.7333,135.8667,68.94,1613185576
saint george,US,54.46,43,1,5.75,37.1041,-113.5841,57.0,1613185576
twentynine palms,US,57.9,38,1,17.27,34.1356,-116.0542,60.01,1613185577
kapaa,US,75.65,60,1,8.05,22.0752,-159.319,75.99,1613185577
mathathane,BW,73.11,74,52,3.58,-22.2687,28.7495,73.11,1613185577
kajaani,FI,5.0,92,33,4.61,64.2273,27.7285,5.0,1613185578
hithadhoo,MV,82.4,73,98,11.99,-0.6,73.0833,82.4,1613185578
bani,DO,73.53,100,6,10.25,18.2833,-70.3333,73.99,1613185578
ahuimanu,US,76.42,65,75,10.36,21.4447,-157.8378,78.8,1613185578
orumiyeh,IR,26.6,68,0,4.61,37.5527,45.0761,26.6,1613185579
adrar,MR,62.94,22,0,10.8,20.5022,-10.0711,62.94,1613185579
dingle,PH,84.31,74,48,6.29,10.9995,122.6711,84.31,1613185579
bambous virieux,MU,77.47,78,40,11.5,-20.3428,57.7575,78.8,1613185580
pevek,RU,-18.54,89,100,7.18,69.7008,170.3133,-18.54,1613185580
yanam,IN,77.0,73,21,6.91,16.7333,82.2167,77.0,1613185580
roblin,CA,-31.23,85,99,2.82,51.23,-101.3565,-31.23,1613185580
albany,US,9.46,53,73,4.14,42.6001,-73.9662,12.0,1613185581
thompson,CA,-31.0,68,1,1.5,55.7435,-97.8558,-31.0,1613185581
namibe,AO,72.3,77,23,1.77,-15.1961,12.1522,72.3,1613185582
sao filipe,CV,73.06,62,0,16.98,14.8961,-24.4956,73.06,1613185582
buchanan,LR,79.59,89,15,7.27,5.8808,-10.0467,79.59,1613185582
srivardhan,IN,74.95,42,5,3.47,18.0333,73.0167,74.95,1613185583
mumford,GH,81.23,86,12,11.07,5.2618,-0.759,81.23,1613185583
lorengau,PG,83.71,76,100,7.87,-2.0226,147.2712,83.71,1613185584
castro,BR,60.66,94,26,2.48,-24.7911,-50.0119,60.66,1613185585
